NLQ,PRED SQL,GOLD SQL,OUTPUT PRED,OUTPUT GOLD
What is the number of patients on main type drug prescriptions who have the diagnoses of unspecified neutropenia?,SELECT count(DISTINCT T1.SUBJECT_ID) FROM Prescriptions AS T1 JOIN Diagnoses AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T1.DRUG_TYPE  =  'main' AND T2.ICD9_CODE  =  'unspecified neutropenia',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN DIAGNOSES on DEMOGRAPHIC.HADM_ID = DIAGNOSES.HADM_ID INNER JOIN PRESCRIPTIONS on DEMOGRAPHIC.HADM_ID = PRESCRIPTIONS.HADM_ID WHERE DIAGNOSES.""SHORT_TITLE"" = ""Neutropenia NOS"" AND PRESCRIPTIONS.""DRUG_TYPE"" = ""MAIN""","[(0,)]","[(1,)]"
How many patients on a base drug type prescription have recurrent severe episode of major depressive affective disorder without mention of psychotic behavior diagnoses? ,SELECT count(DISTINCT T1.DRUG_TYPE) FROM Prescriptions AS T1 JOIN Diagnoses AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T1.DRUG_TYPE  =  'base' AND T2.ICD9_CODE  =  '296.0' AND T2.ICD9_CODE  !=  '296.0',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN DIAGNOSES on DEMOGRAPHIC.HADM_ID = DIAGNOSES.HADM_ID INNER JOIN PRESCRIPTIONS on DEMOGRAPHIC.HADM_ID = PRESCRIPTIONS.HADM_ID WHERE DIAGNOSES.""SHORT_TITLE"" = ""Rec depr psych-psychotic"" AND PRESCRIPTIONS.""DRUG_TYPE"" = ""BASE""","[(0,)]","[(1,)]"
get the number of patients diagnosed with acute pancreatitis who have main type drug prescription.,SELECT count(DISTINCT T1.SUBJECT_ID) FROM Diagnoses AS T1 JOIN Prescriptions AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T1.ICD9_CODE  =  'acute pancreatitis' AND T2.DRUG_TYPE  =  'main type',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN DIAGNOSES on DEMOGRAPHIC.HADM_ID = DIAGNOSES.HADM_ID INNER JOIN PRESCRIPTIONS on DEMOGRAPHIC.HADM_ID = PRESCRIPTIONS.HADM_ID WHERE DIAGNOSES.""SHORT_TITLE"" = ""Acute pancreatitis"" AND PRESCRIPTIONS.""DRUG_TYPE"" = ""MAIN""","[(0,)]","[(1,)]"
what is the number of patients on main drug type prescription who are diagnosed with malignant neoplasm of descending colon?,SELECT count(DISTINCT T1.subject_id) FROM prescriptions AS T1 JOIN diagnoses AS T2 ON T1.subject_id  =  T2.subject_id WHERE T1.drug_type  =  'main' AND T2.icd9_code  =  '1530',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN DIAGNOSES on DEMOGRAPHIC.HADM_ID = DIAGNOSES.HADM_ID INNER JOIN PRESCRIPTIONS on DEMOGRAPHIC.HADM_ID = PRESCRIPTIONS.HADM_ID WHERE DIAGNOSES.""SHORT_TITLE"" = ""Mal neo descend colon"" AND PRESCRIPTIONS.""DRUG_TYPE"" = ""MAIN""","[(0,)]","[(1,)]"
get the number of patients diagnosed with acidosis who have ou route of drug administration.,SELECT count(DISTINCT T1.ICD9_CODE) FROM Diagnoses AS T1 JOIN Prescriptions AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T1.ICD9_CODE  =  'acidosis' AND T2.ROUTE  =  'ou',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN DIAGNOSES on DEMOGRAPHIC.HADM_ID = DIAGNOSES.HADM_ID INNER JOIN PRESCRIPTIONS on DEMOGRAPHIC.HADM_ID = PRESCRIPTIONS.HADM_ID WHERE DIAGNOSES.""SHORT_TITLE"" = ""Acidosis"" AND PRESCRIPTIONS.""ROUTE"" = ""OU""","[(0,)]","[(0,)]"
let me know the number of patients on iv bolus route of drug administration who have been diagnosed with long-term use of aspirin.,SELECT count(DISTINCT T1.SUBJECT_ID) FROM Prescriptions AS T1 JOIN Diagnoses AS T2 ON T1.SUBJECT_ID  =  T2.SUBJECT_ID WHERE T1.DRUG_TYPE  =  'IV Bolus' AND T2.ICD9_CODE  =  'aspirin',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN DIAGNOSES on DEMOGRAPHIC.HADM_ID = DIAGNOSES.HADM_ID INNER JOIN PRESCRIPTIONS on DEMOGRAPHIC.HADM_ID = PRESCRIPTIONS.HADM_ID WHERE DIAGNOSES.""SHORT_TITLE"" = ""Long-term use of aspirin"" AND PRESCRIPTIONS.""ROUTE"" = ""IV BOLUS""","[(0,)]","[(0,)]"
how many patients diagnosed with regional enteritis nos are administered drugs via the left eye?,SELECT count(route) FROM prescriptions AS T1 JOIN diagnoses AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T1.route  =  'left eye' AND T2.ICD9_CODE  =  'regional enteritis nos',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN DIAGNOSES on DEMOGRAPHIC.HADM_ID = DIAGNOSES.HADM_ID INNER JOIN PRESCRIPTIONS on DEMOGRAPHIC.HADM_ID = PRESCRIPTIONS.HADM_ID WHERE DIAGNOSES.""SHORT_TITLE"" = ""Regional enteritis NOS"" AND PRESCRIPTIONS.""ROUTE"" = ""LEFT EYE""","[(0,)]","[(0,)]"
what is the number of patients on iv bolus drug route who have short title of diagnosis as dvrtclo colon w hmrhg?,SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 JOIN Prescriptions AS T2 ON T1.HADM_ID  =  T2.HADM_ID JOIN Diagnoses AS T3 ON T1.HADM_ID  =  T3.HADM_ID WHERE T2.ROUTE  =  'iv bolus' AND T3.SHORT_TITLE  =  'dvrtclo colon w hmrhg',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN DIAGNOSES on DEMOGRAPHIC.HADM_ID = DIAGNOSES.HADM_ID INNER JOIN PRESCRIPTIONS on DEMOGRAPHIC.HADM_ID = PRESCRIPTIONS.HADM_ID WHERE DIAGNOSES.""SHORT_TITLE"" = ""Dvrtclo colon w hmrhg"" AND PRESCRIPTIONS.""ROUTE"" = ""IV BOLUS""","[(0,)]","[(0,)]"
"get me the number of patients on ih route of drug administration who have diagnoses of pneumonia, unspecified organism.",SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 JOIN Prescriptions AS T2 ON T1.SUBJECT_ID  =  T2.SUBJECT_ID JOIN Diagnoses AS T3 ON T1.SUBJECT_ID  =  T3.SUBJECT_ID WHERE T2.ROUTE  =  'ih' AND T3.ICD9_CODE  =  'pneumonia' AND T3.ICD9_CODE  =  'unspecified organism',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN DIAGNOSES on DEMOGRAPHIC.HADM_ID = DIAGNOSES.HADM_ID INNER JOIN PRESCRIPTIONS on DEMOGRAPHIC.HADM_ID = PRESCRIPTIONS.HADM_ID WHERE DIAGNOSES.""SHORT_TITLE"" = ""Pneumonia, organism NOS"" AND PRESCRIPTIONS.""ROUTE"" = ""IH""","[(0,)]","[(2,)]"
how many of the patients diagnosed with mv collision nos-driver received id therapy?,SELECT count(DISTINCT T2.hadm_id) FROM diagnoses AS T1 JOIN prescriptions AS T2 ON T1.hadm_id  =  T2.hadm_id WHERE T1.icd9_code  =  'mv collision nos-driver' AND T2.drug_type  =  'id therapy',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN DIAGNOSES on DEMOGRAPHIC.HADM_ID = DIAGNOSES.HADM_ID INNER JOIN PRESCRIPTIONS on DEMOGRAPHIC.HADM_ID = PRESCRIPTIONS.HADM_ID WHERE DIAGNOSES.""SHORT_TITLE"" = ""Mv collision NOS-driver"" AND PRESCRIPTIONS.""ROUTE"" = ""ID""","[(0,)]","[(0,)]"
how many patients are diagnosed with hx of colonic malignancy and have iv route of drug administration?,SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 JOIN Diagnoses AS T2 ON T1.HADM_ID  =  T2.HADM_ID JOIN Prescriptions AS T3 ON T1.HADM_ID  =  T3.HADM_ID WHERE T2.ICD9_CODE  =  'colonic malignancy' AND T3.ROUTE  =  'iv',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN DIAGNOSES on DEMOGRAPHIC.HADM_ID = DIAGNOSES.HADM_ID INNER JOIN PRESCRIPTIONS on DEMOGRAPHIC.HADM_ID = PRESCRIPTIONS.HADM_ID WHERE DIAGNOSES.""SHORT_TITLE"" = ""Hx of colonic malignancy"" AND PRESCRIPTIONS.""ROUTE"" = ""IV""","[(0,)]","[(1,)]"
count the number of patients who had delta abnormal lab test status with a diagnoses of buttock pressure ulcer.,SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 JOIN Lab AS T2 ON T1.HADM_ID  =  T2.HADM_ID JOIN Diagnoses AS T3 ON T1.HADM_ID  =  T3.HADM_ID WHERE T2.FLAG  =  'delta' AND T3.ICD9_CODE  =  'buttock pressure ulcer',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN DIAGNOSES on DEMOGRAPHIC.HADM_ID = DIAGNOSES.HADM_ID INNER JOIN LAB on DEMOGRAPHIC.HADM_ID = LAB.HADM_ID WHERE DIAGNOSES.""SHORT_TITLE"" = ""Pressure ulcer, buttock"" AND LAB.""FLAG"" = ""delta""","[(0,)]","[(0,)]"
what number of patients with whose lab test result is abnormal had the diagnoses titled ocl crtd art wo infrct?,SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 JOIN Lab AS T2 ON T1.HADM_ID  =  T2.HADM_ID JOIN Diagnoses AS T3 ON T1.HADM_ID  =  T3.HADM_ID WHERE T2.FLAG  =  'abnormal' AND T3.SHORT_TITLE  =  'ocl crtd art wo infrct',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN DIAGNOSES on DEMOGRAPHIC.HADM_ID = DIAGNOSES.HADM_ID INNER JOIN LAB on DEMOGRAPHIC.HADM_ID = LAB.HADM_ID WHERE DIAGNOSES.""SHORT_TITLE"" = ""Ocl crtd art wo infrct"" AND LAB.""FLAG"" = ""abnormal""","[(0,)]","[(1,)]"
Bring me the number of patients diagnosed with benign neoplasm of pituitary gland who had a blood test.,SELECT count(DISTINCT T2.HADM_ID) FROM diagnoses AS T2 JOIN lab AS T1 ON T2.HADM_ID  =  T1.HADM_ID WHERE T2.ICD9_CODE  =  'benign neoplasm of pituitary gland',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN DIAGNOSES on DEMOGRAPHIC.HADM_ID = DIAGNOSES.HADM_ID INNER JOIN LAB on DEMOGRAPHIC.HADM_ID = LAB.HADM_ID WHERE DIAGNOSES.""SHORT_TITLE"" = ""Benign neo pituitary"" AND LAB.""FLUID"" = ""Blood""","[(0,)]","[(1,)]"
give me the number of patients whose diagnoses is noninf gastroenterit nec and lab test fluid is pleural.,SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 JOIN Diagnoses AS T2 ON T1.HADM_ID  =  T2.HADM_ID JOIN Lab AS T3 ON T1.HADM_ID  =  T3.HADM_ID WHERE T2.ICD9_CODE  =  'noninf gastroenterit nec' AND T3.FLUID  =  'pleural',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN DIAGNOSES on DEMOGRAPHIC.HADM_ID = DIAGNOSES.HADM_ID INNER JOIN LAB on DEMOGRAPHIC.HADM_ID = LAB.HADM_ID WHERE DIAGNOSES.""SHORT_TITLE"" = ""Noninf gastroenterit NEC"" AND LAB.""FLUID"" = ""Pleural""","[(0,)]","[(0,)]"
Provide the number of patients having lab test fluid as pleural that were diagnosed with adv eff benzodiaz tranq.,SELECT count(DISTINCT T1.subject_id) FROM lab AS T1 JOIN diagnoses AS T2 ON T1.subject_id  =  T2.subject_id WHERE T1.FLUID  =  'pleural' AND T2.ICD9_CODE  =  'adv eff benzodiaz tranq',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN DIAGNOSES on DEMOGRAPHIC.HADM_ID = DIAGNOSES.HADM_ID INNER JOIN LAB on DEMOGRAPHIC.HADM_ID = LAB.HADM_ID WHERE DIAGNOSES.""SHORT_TITLE"" = ""Adv eff benzodiaz tranq"" AND LAB.""FLUID"" = ""Pleural""","[(0,)]","[(0,)]"
report the number of patients with other convulsions diagnoses who had csf lab test done.,SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 JOIN Diagnoses AS T2 ON T1.HADM_ID  =  T2.HADM_ID JOIN Lab AS T3 ON T1.HADM_ID  =  T3.HADM_ID WHERE T2.ICD9_CODE  =  'other convulsions' AND T3.ITEMID  =  'csf',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN DIAGNOSES on DEMOGRAPHIC.HADM_ID = DIAGNOSES.HADM_ID INNER JOIN LAB on DEMOGRAPHIC.HADM_ID = LAB.HADM_ID WHERE DIAGNOSES.""SHORT_TITLE"" = ""Convulsions NEC"" AND LAB.""FLUID"" = ""Cerebrospinal Fluid (CSF)""","[(0,)]","[(0,)]"
what is the number of patients diagnosed with do not resusctate status and have lab test category as hematology?,SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 JOIN Diagnoses AS T2 ON T1.HADM_ID  =  T2.HADM_ID JOIN Lab AS T3 ON T1.HADM_ID  =  T3.HADM_ID WHERE T2.ICD9_CODE  =  'do not resusctate status' AND T3.CATEGORY  =  'hematology',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN DIAGNOSES on DEMOGRAPHIC.HADM_ID = DIAGNOSES.HADM_ID INNER JOIN LAB on DEMOGRAPHIC.HADM_ID = LAB.HADM_ID WHERE DIAGNOSES.""SHORT_TITLE"" = ""Do not resusctate status"" AND LAB.""CATEGORY"" = ""Hematology""","[(0,)]","[(4,)]"
give me the number of patients with hematology lab test category who were diagnosed with disruption of external operation (surgical) wound.,SELECT count(DISTINCT T1.subject_id) FROM lab AS T1 JOIN diagnoses AS T2 ON T1.subject_id  =  T2.subject_id WHERE T1.CATEGORY  =  'hematology' AND T2.ICD9_CODE  =  'disruption of external operation (surgical) wound',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN DIAGNOSES on DEMOGRAPHIC.HADM_ID = DIAGNOSES.HADM_ID INNER JOIN LAB on DEMOGRAPHIC.HADM_ID = LAB.HADM_ID WHERE DIAGNOSES.""SHORT_TITLE"" = ""Disrup-external op wound"" AND LAB.""CATEGORY"" = ""Hematology""","[(0,)]","[(1,)]"
how many patients are diagnosed with tietze's disease and use drug type base?,SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 JOIN Diagnoses AS T2 ON T1.HADM_ID  =  T2.HADM_ID JOIN Prescriptions AS T3 ON T1.HADM_ID  =  T3.HADM_ID WHERE T2.ICD9_CODE  =  'tietze''s disease' AND T3.DRUG_TYPE  =  'base',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN DIAGNOSES on DEMOGRAPHIC.HADM_ID = DIAGNOSES.HADM_ID INNER JOIN PRESCRIPTIONS on DEMOGRAPHIC.HADM_ID = PRESCRIPTIONS.HADM_ID WHERE DIAGNOSES.""LONG_TITLE"" = ""Tietze's disease"" AND PRESCRIPTIONS.""DRUG_TYPE"" = ""BASE""","[(0,)]","[(1,)]"
how many patients with secondary neuroendocrine tumor of bone were treated with base drug?,SELECT count(DISTINCT T1.SUBJECT_ID) FROM Diagnoses AS T1 JOIN Prescriptions AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T1.ICD9_CODE  =  'secondary neuroendocrine tumor of bone' AND T2.DRUG_TYPE  =  'base drug',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN DIAGNOSES on DEMOGRAPHIC.HADM_ID = DIAGNOSES.HADM_ID INNER JOIN PRESCRIPTIONS on DEMOGRAPHIC.HADM_ID = PRESCRIPTIONS.HADM_ID WHERE DIAGNOSES.""LONG_TITLE"" = ""Secondary neuroendocrine tumor of bone"" AND PRESCRIPTIONS.""DRUG_TYPE"" = ""BASE""","[(0,)]","[(1,)]"
"count the number of patients with drug type additive who have been diagnosed with insomnia, unspecified.","SELECT count(DISTINCT T1.SUBJECT_ID) FROM Prescriptions AS T1 JOIN Diagnoses AS T2 ON T1.SUBJECT_ID  =  T2.SUBJECT_ID WHERE T1.DRUG_TYPE  =  'additive' AND T2.ICD9_CODE  =  'insomnia, unspecified'","SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN DIAGNOSES on DEMOGRAPHIC.HADM_ID = DIAGNOSES.HADM_ID INNER JOIN PRESCRIPTIONS on DEMOGRAPHIC.HADM_ID = PRESCRIPTIONS.HADM_ID WHERE DIAGNOSES.""LONG_TITLE"" = ""Insomnia, unspecified"" AND PRESCRIPTIONS.""DRUG_TYPE"" = ""ADDITIVE""","[(0,)]","[(0,)]"
what number of patients diagnosed with acute kidney failure with lesion of tubular necrosis have the drug type base?,SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 JOIN Diagnoses AS T2 ON T1.HADM_ID  =  T2.HADM_ID JOIN Prescriptions AS T3 ON T1.HADM_ID  =  T3.HADM_ID WHERE T2.ICD9_CODE  =  'acute kidney failure with lesion of tubular necrosis' AND T3.DRUG_TYPE  =  'base',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN DIAGNOSES on DEMOGRAPHIC.HADM_ID = DIAGNOSES.HADM_ID INNER JOIN PRESCRIPTIONS on DEMOGRAPHIC.HADM_ID = PRESCRIPTIONS.HADM_ID WHERE DIAGNOSES.""LONG_TITLE"" = ""Acute kidney failure with lesion of tubular necrosis"" AND PRESCRIPTIONS.""DRUG_TYPE"" = ""BASE""","[(0,)]","[(2,)]"
"what is the number of patients who take drug via oral route and have diabetes mellitus without mention of complication, type ii or unspecified type, not stated as uncontrolled diagnoses?",SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 JOIN Prescriptions AS T2 ON T1.SUBJECT_ID  =  T2.SUBJECT_ID JOIN Diagnoses AS T3 ON T1.SUBJECT_ID  =  T3.SUBJECT_ID WHERE T2.ROUTE  =  'oral' AND T3.ICD9_CODE  =  'diabetes mellitus' AND T3.ICD9_CODE  !=  'complication' AND T3.ICD9_CODE  !=  'type ii' AND T3.ICD9_CODE  !=  'unspecified type' AND T3.ICD9_CODE  !=  'uncontrolled diagnoses',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN DIAGNOSES on DEMOGRAPHIC.HADM_ID = DIAGNOSES.HADM_ID INNER JOIN PRESCRIPTIONS on DEMOGRAPHIC.HADM_ID = PRESCRIPTIONS.HADM_ID WHERE DIAGNOSES.""LONG_TITLE"" = ""Diabetes mellitus without mention of complication, type II or unspecified type, not stated as uncontrolled"" AND PRESCRIPTIONS.""ROUTE"" = ""ORAL""","[(0,)]","[(4,)]"
provide the number of patients whose diagnosis long title is atherosclerosis of native arteries of the extremities with intermittent claudication and drug route is replace.,SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 JOIN Diagnoses AS T2 ON T1.HADM_ID  =  T2.HADM_ID JOIN Prescriptions AS T3 ON T1.HADM_ID  =  T3.HADM_ID WHERE T2.LONG_TITLE  =  'atherosclerosis of native arteries of the extremities with intermittent claudication' AND T3.ROUTE  =  'replace',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN DIAGNOSES on DEMOGRAPHIC.HADM_ID = DIAGNOSES.HADM_ID INNER JOIN PRESCRIPTIONS on DEMOGRAPHIC.HADM_ID = PRESCRIPTIONS.HADM_ID WHERE DIAGNOSES.""LONG_TITLE"" = ""Atherosclerosis of native arteries of the extremities with intermittent claudication"" AND PRESCRIPTIONS.""ROUTE"" = ""REPLACE""","[(0,)]","[(0,)]"
find the number of patients taking drug via sl route who have been diagnosed with benign neoplasm of spinal meninges.,SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 JOIN Prescriptions AS T2 ON T1.HADM_ID  =  T2.HADM_ID JOIN Diagnoses AS T3 ON T1.HADM_ID  =  T3.HADM_ID WHERE T2.ROUTE  =  'sl' AND T3.ICD9_CODE  =  'benign neoplasm of spinal meninges',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN DIAGNOSES on DEMOGRAPHIC.HADM_ID = DIAGNOSES.HADM_ID INNER JOIN PRESCRIPTIONS on DEMOGRAPHIC.HADM_ID = PRESCRIPTIONS.HADM_ID WHERE DIAGNOSES.""LONG_TITLE"" = ""Benign neoplasm of spinal meninges"" AND PRESCRIPTIONS.""ROUTE"" = ""SL""","[(0,)]","[(0,)]"
"calculate the number of patients having unspecified migraine unspecified, without mention of intractable migraine and status migrainosus, who had abnormal lab test results. ",SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 JOIN Diagnoses AS T2 ON T1.HADM_ID  =  T2.HADM_ID JOIN Lab AS T3 ON T1.HADM_ID  =  T3.HADM_ID WHERE T2.ICD9_CODE  =  'unspecified' AND T2.ICD9_CODE  =  'migraine' AND T2.ICD9_CODE  !=  'intractable' AND T2.ICD9_CODE  !=  'migrainous' AND T3.FLAG  =  'abnormal',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN DIAGNOSES on DEMOGRAPHIC.HADM_ID = DIAGNOSES.HADM_ID INNER JOIN LAB on DEMOGRAPHIC.HADM_ID = LAB.HADM_ID WHERE DIAGNOSES.""LONG_TITLE"" = ""Migraine, unspecified, without mention of intractable migraine without mention of status migrainosus"" AND LAB.""FLAG"" = ""delta""","[(0,)]","[(0,)]"
What is the number of patients diagnosed with rheumatic heart failure (congestive) who have a delta abnormal lab test?,SELECT count(DISTINCT T1.SUBJECT_ID) FROM Diagnoses AS T1 JOIN Lab AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T1.ICD9_CODE  =  'Rheumatic heart failure (congestive)' AND T2.FLAG  =  'Delta abnormal',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN DIAGNOSES on DEMOGRAPHIC.HADM_ID = DIAGNOSES.HADM_ID INNER JOIN LAB on DEMOGRAPHIC.HADM_ID = LAB.HADM_ID WHERE DIAGNOSES.""LONG_TITLE"" = ""Rheumatic heart failure (congestive)"" AND LAB.""FLAG"" = ""delta""","[(0,)]","[(1,)]"
how many patients are diagnosed with encephalopathy unspecified and tested in lab and the results shows abnormal status?,SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 JOIN Diagnoses AS T2 ON T1.HADM_ID  =  T2.HADM_ID JOIN Lab AS T3 ON T1.HADM_ID  =  T3.HADM_ID WHERE T2.ICD9_CODE  =  'encephalopathy unspecified' AND T3.FLAG  =  'abnormal',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN DIAGNOSES on DEMOGRAPHIC.HADM_ID = DIAGNOSES.HADM_ID INNER JOIN LAB on DEMOGRAPHIC.HADM_ID = LAB.HADM_ID WHERE DIAGNOSES.""LONG_TITLE"" = ""Encephalopathy, unspecified"" AND LAB.""FLAG"" = ""abnormal""","[(0,)]","[(3,)]"
count the number of patients whose diagnoses long title is embolism and thrombosis of iliac artery and lab test abnormal status is delta.,SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 JOIN Diagnoses AS T2 ON T1.HADM_ID  =  T2.HADM_ID JOIN Lab AS T3 ON T1.HADM_ID  =  T3.HADM_ID WHERE T2.LONG_TITLE  =  'embolism and thrombosis of iliac artery' AND T3.FLAG  =  'delta',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN DIAGNOSES on DEMOGRAPHIC.HADM_ID = DIAGNOSES.HADM_ID INNER JOIN LAB on DEMOGRAPHIC.HADM_ID = LAB.HADM_ID WHERE DIAGNOSES.""LONG_TITLE"" = ""Embolism and thrombosis of iliac artery"" AND LAB.""FLAG"" = ""delta""","[(0,)]","[(0,)]"
how many patients who were diagnosed with personal history of venous thrombosis and embolism had lab test result as delta?,SELECT count(DISTINCT T2.subject_id) FROM lab AS T1 JOIN diagnoses AS T2 ON T1.subject_id  =  T2.subject_id WHERE T1.VALUE_UNIT  =  'delta' AND T2.subject_id  IN  (SELECT DISTINCT T3.subject_id FROM diagnoses AS T3 WHERE T3.icd9_code  =  'venous thrombosis' OR T3.icd9_code  =  'embolism'),"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN DIAGNOSES on DEMOGRAPHIC.HADM_ID = DIAGNOSES.HADM_ID INNER JOIN LAB on DEMOGRAPHIC.HADM_ID = LAB.HADM_ID WHERE DIAGNOSES.""LONG_TITLE"" = ""Personal history of venous thrombosis and embolism"" AND LAB.""FLAG"" = ""delta""","[(0,)]","[(0,)]"
give the number of patients whose diagnoses long title is personal history of malignant neoplasm of bladder and lab test abnormal status is abnormal.,SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 JOIN Diagnoses AS T2 ON T1.HADM_ID  =  T2.HADM_ID JOIN Lab AS T3 ON T1.HADM_ID  =  T3.HADM_ID WHERE T2.LONG_TITLE  =  'personal history of malignant neoplasm of bladder' AND T3.FLAG  =  'abnormal',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN DIAGNOSES on DEMOGRAPHIC.HADM_ID = DIAGNOSES.HADM_ID INNER JOIN LAB on DEMOGRAPHIC.HADM_ID = LAB.HADM_ID WHERE DIAGNOSES.""LONG_TITLE"" = ""Personal history of malignant neoplasm of bladder"" AND LAB.""FLAG"" = ""abnormal""","[(0,)]","[(1,)]"
